,Year,Month,Value,city
23,2022,Sep,350.721,./cpi_data/San_Diego
24,2023,Apr,,./cpi_data/San_Diego
25,2023,Aug,,./cpi_data/San_Diego
26,2023,Dec,,./cpi_data/San_Diego
27,2023,Feb,,./cpi_data/San_Diego
28,2023,Jan,354.453,./cpi_data/San_Diego
29,2023,Jul,362.412,./cpi_data/San_Diego
30,2023,Jun,,./cpi_data/San_Diego
31,2023,Mar,358.026,./cpi_data/San_Diego
32,2023,May,361.339,./cpi_data/San_Diego
33,2023,Nov,,./cpi_data/San_Diego
34,2023,Oct,,./cpi_data/San_Diego
35,2023,Sep,,./cpi_data/San_Diego
0,2021,Apr,,./cpi_data/Dallas
1,2021,Aug,,./cpi_data/Dallas
2,2021,Dec,,./cpi_data/Dallas
3,2021,Feb,,./cpi_data/Dallas
4,2021,Jan,242.513,./cpi_data/Dallas
5,2021,Jul,253.319,./cpi_data/Dallas
6,2021,Jun,,./cpi_data/Dallas
7,2021,Mar,246.995,./cpi_data/Dallas
8,2021,May,251.228,./cpi_data/Dallas
9,2021,Nov,257.394,./cpi_data/Dallas
10,2021,Oct,,./cpi_data/Dallas
11,2021,Sep,254.95,./cpi_data/Dallas
12,2022,Apr,,./cpi_data/Dallas
13,2022,Aug,,./cpi_data/Dallas
14,2022,Dec,,./cpi_data/Dallas
15,2022,Feb,,./cpi_data/Dallas
16,2022,Jan,261.499,./cpi_data/Dallas
17,2022,Jul,277.005,./cpi_data/Dallas
18,2022,Jun,,./cpi_data/Dallas
19,2022,Mar,269.347,./cpi_data/Dallas
20,2022,May,274.196,./cpi_data/Dallas
21,2022,Nov,279,./cpi_data/Dallas
22,2022,Oct,,./cpi_data/Dallas
23,2022,Sep,278.297,./cpi_data/Dallas
24,2023,Apr,,./cpi_data/Dallas
25,2023,Aug,,./cpi_data/Dallas
26,2023,Dec,,./cpi_data/Dallas
27,2023,Feb,,./cpi_data/Dallas
28,2023,Jan,281.117,./cpi_data/Dallas
29,2023,Jul,288.006,./cpi_data/Dallas
30,2023,Jun,,./cpi_data/Dallas
31,2023,Mar,284.862,./cpi_data/Dallas
